"GroupID","GroupLevel","Numerator","Denominator","Metric"
"4","Site",3,35,0.0857142857142857
"257","Site",25,183,0.136612021857924
"384","Site",28,246,0.113821138211382
"391","Site",8,151,0.0529801324503311
"531","Site",46,689,0.0667634252539913
"576","Site",15,184,0.0815217391304348
"1283","Site",9,76,0.118421052631579
"1364","Site",4,110,0.0363636363636364
"1828","Site",9,149,0.0604026845637584
"1881","Site",25,306,0.0816993464052288
"1925","Site",6,67,0.0895522388059701
"1927","Site",14,183,0.0765027322404372
"2392","Site",15,280,0.0535714285714286
"4695","Site",16,200,0.08
"4712","Site",5,63,0.0793650793650794
"4897","Site",12,120,0.1
"5968","Site",13,267,0.048689138576779
"5977","Site",6,33,0.181818181818182
"6230","Site",5,101,0.0495049504950495
"6273","Site",3,70,0.0428571428571429
"6416","Site",24,272,0.0882352941176471
"6530","Site",26,228,0.114035087719298
"8197","Site",2,89,0.0224719101123595
"8304","Site",19,202,0.0940594059405941
"8454","Site",3,18,0.166666666666667
"8545","Site",0,22,0
"8560","Site",38,393,0.0966921119592875
"8594","Site",61,584,0.104452054794521
"8995","Site",20,264,0.0757575757575758
"9072","Site",8,80,0.1
"9232","Site",5,87,0.0574712643678161
"9522","Site",26,308,0.0844155844155844
"9560","Site",2,33,0.0606060606060606
"9844","Site",6,77,0.0779220779220779
"10081","Site",1,13,0.0769230769230769
"10119","Site",2,29,0.0689655172413793
"10325","Site",4,58,0.0689655172413793
"10497","Site",10,216,0.0462962962962963
"10608","Site",12,213,0.0563380281690141
"12432","Site",36,294,0.122448979591837
"12937","Site",17,245,0.0693877551020408
"12946","Site",3,32,0.09375
"13057","Site",7,40,0.175
"13112","Site",4,28,0.142857142857143
"13825","Site",11,51,0.215686274509804
"13878","Site",4,16,0.25
"14408","Site",22,232,0.0948275862068965
"14601","Site",30,328,0.0914634146341463
"14707","Site",9,173,0.0520231213872832
"14729","Site",23,240,0.0958333333333333
"16424","Site",30,263,0.114068441064639
"16470","Site",14,203,0.0689655172413793
"16980","Site",0,20,0
"16996","Site",17,339,0.0501474926253687
"17010","Site",6,117,0.0512820512820513
"17187","Site",56,725,0.0772413793103448
"17208","Site",3,43,0.0697674418604651
"17235","Site",24,200,0.12
"17472","Site",17,163,0.104294478527607
"17541","Site",33,537,0.0614525139664804
"17542","Site",20,227,0.0881057268722467
"17555","Site",3,49,0.0612244897959184
"17717","Site",15,243,0.0617283950617284
"17729","Site",18,275,0.0654545454545455
"17799","Site",5,38,0.131578947368421
"17808","Site",34,502,0.0677290836653386
"17961","Site",24,381,0.062992125984252
"18449","Site",5,47,0.106382978723404
"18496","Site",6,66,0.0909090909090909
"18537","Site",13,150,0.0866666666666667
"18548","Site",16,153,0.104575163398693
"18743","Site",13,125,0.104
"18777","Site",23,309,0.0744336569579288
"20531","Site",31,375,0.0826666666666667
"20757","Site",3,27,0.111111111111111
"21380","Site",59,592,0.0996621621621622
"21655","Site",3,42,0.0714285714285714
"22022","Site",6,25,0.24
"22329","Site",1,22,0.0454545454545455
"22677","Site",33,396,0.0833333333333333
"22681","Site",1,26,0.0384615384615385
"25127","Site",10,173,0.0578034682080925
"25160","Site",5,35,0.142857142857143
"25171","Site",8,55,0.145454545454545
"25348","Site",20,216,0.0925925925925926
"25382","Site",4,32,0.125
"25449","Site",11,180,0.0611111111111111
"25605","Site",38,452,0.084070796460177
"25858","Site",12,136,0.0882352941176471
"26115","Site",31,236,0.13135593220339
"26117","Site",23,271,0.0848708487084871
"26167","Site",1,18,0.0555555555555556
"26213","Site",21,195,0.107692307692308
"26499","Site",1,8,0.125
"26665","Site",10,66,0.151515151515152
"26725","Site",1,64,0.015625
"26772","Site",10,123,0.0813008130081301
"26880","Site",28,406,0.0689655172413793
"26885","Site",6,48,0.125
"28689","Site",40,407,0.0982800982800983
"29013","Site",12,151,0.0794701986754967
"29289","Site",3,29,0.103448275862069
"29476","Site",2,19,0.105263157894737
"29813","Site",6,53,0.113207547169811
"29972","Site",18,120,0.15
"29987","Site",0,10,0
"30089","Site",1,20,0.05
"30233","Site",11,91,0.120879120879121
"30336","Site",17,237,0.0717299578059072
"30729","Site",20,146,0.136986301369863
"30741","Site",10,123,0.0813008130081301
"30851","Site",4,46,0.0869565217391304
"30984","Site",5,44,0.113636363636364
"31107","Site",28,288,0.0972222222222222
"32913","Site",15,208,0.0721153846153846
"32920","Site",2,22,0.0909090909090909
"33348","Site",3,31,0.0967741935483871
"33396","Site",1,40,0.025
"33539","Site",20,227,0.0881057268722467
"33575","Site",2,23,0.0869565217391304
"33617","Site",36,363,0.0991735537190083
"33620","Site",14,204,0.0686274509803922
"33671","Site",2,37,0.0540540540540541
"34067","Site",10,105,0.0952380952380952
"34071","Site",44,428,0.102803738317757
"34341","Site",36,460,0.0782608695652174
"34353","Site",7,116,0.0603448275862069
"34355","Site",45,582,0.077319587628866
"34643","Site",7,85,0.0823529411764706
"34660","Site",7,154,0.0454545454545455
"34694","Site",28,382,0.0732984293193717
"34696","Site",32,400,0.08
"34713","Site",35,477,0.0733752620545073
"35155","Site",7,121,0.0578512396694215
"37186","Site",64,855,0.0748538011695906
"37702","Site",21,422,0.0497630331753555
"37728","Site",44,523,0.0841300191204589
"37892","Site",5,14,0.357142857142857
"37938","Site",8,66,0.121212121212121
"38248","Site",9,82,0.109756097560976
"38249","Site",3,80,0.0375
"38272","Site",42,403,0.104218362282878
"38711","Site",26,404,0.0643564356435644
"39000","Site",20,291,0.0687285223367698
"39025","Site",24,185,0.12972972972973
