"GroupID","GroupLevel","Numerator","Denominator","Metric"
"4","Site",1,3,0.333333333333333
"257","Site",2,7,0.285714285714286
"384","Site",2,6,0.333333333333333
"391","Site",3,9,0.333333333333333
"531","Site",0,10,0
"576","Site",3,9,0.333333333333333
"1283","Site",3,6,0.5
"1364","Site",0,3,0
"1828","Site",1,6,0.166666666666667
"1881","Site",3,8,0.375
"1925","Site",1,5,0.2
"1927","Site",0,7,0
"2392","Site",1,6,0.166666666666667
"4695","Site",2,8,0.25
"4712","Site",1,3,0.333333333333333
"4897","Site",4,10,0.4
"5968","Site",0,6,0
"5977","Site",1,5,0.2
"6230","Site",1,7,0.142857142857143
"6273","Site",0,5,0
"6416","Site",2,7,0.285714285714286
"6530","Site",2,8,0.25
"8197","Site",0,5,0
"8304","Site",2,8,0.25
"8454","Site",2,3,0.666666666666667
"8467","Site",2,2,1
"8545","Site",1,2,0.5
"8560","Site",2,11,0.181818181818182
"8594","Site",3,12,0.25
"8995","Site",3,8,0.375
"9072","Site",1,4,0.25
"9232","Site",2,5,0.4
"9522","Site",1,7,0.142857142857143
"9560","Site",0,2,0
"9844","Site",1,6,0.166666666666667
"10081","Site",0,1,0
"10119","Site",1,3,0.333333333333333
"10325","Site",3,6,0.5
"10497","Site",4,9,0.444444444444444
"10608","Site",0,7,0
"12432","Site",3,11,0.272727272727273
"12937","Site",4,10,0.4
"12946","Site",2,4,0.5
"13057","Site",0,3,0
"13112","Site",0,2,0
"13825","Site",2,7,0.285714285714286
"13878","Site",0,2,0
"14408","Site",1,9,0.111111111111111
"14601","Site",1,8,0.125
"14707","Site",1,7,0.142857142857143
"14729","Site",2,12,0.166666666666667
"16424","Site",1,10,0.1
"16470","Site",0,5,0
"16980","Site",1,2,0.5
"16996","Site",2,11,0.181818181818182
"17010","Site",3,7,0.428571428571429
"17187","Site",6,20,0.3
"17208","Site",0,4,0
"17235","Site",2,10,0.2
"17472","Site",4,8,0.5
"17541","Site",0,11,0
"17542","Site",2,11,0.181818181818182
"17555","Site",2,6,0.333333333333333
"17717","Site",2,9,0.222222222222222
"17729","Site",1,8,0.125
"17799","Site",3,6,0.5
"17808","Site",1,9,0.111111111111111
"17961","Site",2,8,0.25
"18449","Site",0,1,0
"18496","Site",4,7,0.571428571428571
"18537","Site",2,7,0.285714285714286
"18548","Site",4,9,0.444444444444444
"18743","Site",3,8,0.375
"18777","Site",3,10,0.3
"20531","Site",3,12,0.25
"20757","Site",0,2,0
"21380","Site",4,17,0.235294117647059
"21655","Site",4,6,0.666666666666667
"22022","Site",1,4,0.25
"22329","Site",0,1,0
"22677","Site",3,11,0.272727272727273
"22681","Site",1,2,0.5
"25127","Site",1,6,0.166666666666667
"25160","Site",1,3,0.333333333333333
"25171","Site",0,4,0
"25348","Site",2,11,0.181818181818182
"25382","Site",0,3,0
"25449","Site",3,7,0.428571428571429
"25605","Site",5,14,0.357142857142857
"25858","Site",1,5,0.2
"26115","Site",3,7,0.428571428571429
"26117","Site",1,8,0.125
"26167","Site",1,5,0.2
"26213","Site",2,7,0.285714285714286
"26499","Site",1,3,0.333333333333333
"26665","Site",1,6,0.166666666666667
"26725","Site",1,4,0.25
"26772","Site",0,4,0
"26880","Site",2,12,0.166666666666667
"26885","Site",0,3,0
"28689","Site",2,11,0.181818181818182
"29013","Site",3,9,0.333333333333333
"29289","Site",0,2,0
"29476","Site",0,1,0
"29732","Site",2,2,1
"29813","Site",0,3,0
"29972","Site",4,9,0.444444444444444
"29987","Site",0,2,0
"30089","Site",0,1,0
"30233","Site",3,6,0.5
"30336","Site",2,10,0.2
"30729","Site",1,3,0.333333333333333
"30741","Site",0,3,0
"30851","Site",0,2,0
"30984","Site",0,2,0
"31107","Site",2,9,0.222222222222222
"32913","Site",2,8,0.25
"32920","Site",0,2,0
"33348","Site",0,2,0
"33396","Site",1,5,0.2
"33539","Site",1,7,0.142857142857143
"33575","Site",0,1,0
"33617","Site",7,14,0.5
"33620","Site",0,7,0
"33671","Site",0,2,0
"34067","Site",0,5,0
"34071","Site",4,11,0.363636363636364
"34341","Site",3,12,0.25
"34353","Site",0,5,0
"34355","Site",1,14,0.0714285714285714
"34643","Site",2,7,0.285714285714286
"34660","Site",3,6,0.5
"34694","Site",3,12,0.25
"34696","Site",2,12,0.166666666666667
"34713","Site",2,12,0.166666666666667
"35155","Site",3,8,0.375
"37186","Site",3,20,0.15
"37702","Site",1,10,0.1
"37728","Site",1,11,0.0909090909090909
"37892","Site",1,3,0.333333333333333
"37938","Site",3,6,0.5
"38248","Site",0,2,0
"38249","Site",2,6,0.333333333333333
"38272","Site",1,13,0.0769230769230769
"38711","Site",2,9,0.222222222222222
"39000","Site",3,12,0.25
"39025","Site",0,7,0
