"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score"
"4","Site",234,1000,0.234,0.259732743362832,0.896141751220612,-1.96037931558917
"391","Site",989,4000,0.24725,0.259732743362832,0.896141751220612,-1.90192794800489
"6230","Site",736,3000,0.245333333333333,0.259732743362832,0.896141751220612,-1.90002514633517
"17729","Site",1498,6000,0.249666666666667,0.259732743362832,0.896141751220612,-1.87840780046956
"33671","Site",487,2000,0.2435,0.259732743362832,0.896141751220612,-1.74888375298684
"25160","Site",489,2000,0.2445,0.259732743362832,0.896141751220612,-1.64114572535367
"16470","Site",996,4000,0.249,0.259732743362832,0.896141751220612,-1.63528993324613
"17541","Site",2789,11000,0.253545454545455,0.259732743362832,0.896141751220612,-1.56333033250483
"14729","Site",1509,6000,0.2515,0.259732743362832,0.896141751220612,-1.53629361456174
"25348","Site",1509,6000,0.2515,0.259732743362832,0.896141751220612,-1.53629361456174
"18743","Site",493,2000,0.2465,0.259732743362832,0.896141751220612,-1.42566967008735
"17472","Site",1004,4000,0.251,0.259732743362832,0.896141751220612,-1.33056077352184
"28689","Site",1773,7000,0.253285714285714,0.259732743362832,0.896141751220612,-1.29945927043531
"8995","Site",1005,4000,0.25125,0.259732743362832,0.896141751220612,-1.2924696285563
"26167","Site",243,1000,0.243,0.259732743362832,0.896141751220612,-1.27473870620951
"26499","Site",496,2000,0.248,0.259732743362832,0.896141751220612,-1.2640626286376
"30233","Site",753,3000,0.251,0.259732743362832,0.896141751220612,-1.15229943114898
"38711","Site",1522,6000,0.253666666666667,0.259732743362832,0.896141751220612,-1.13197684939797
"9560","Site",499,2000,0.2495,0.259732743362832,0.896141751220612,-1.10245558718785
"20531","Site",1780,7000,0.254285714285714,0.259732743362832,0.896141751220612,-1.09789987697026
"13825","Site",246,1000,0.246,0.259732743362832,0.896141751220612,-1.04619183641629
"14601","Site",1527,6000,0.2545,0.259732743362832,0.896141751220612,-0.976470401258045
"8197","Site",503,2000,0.2515,0.259732743362832,0.896141751220612,-0.886979531921526
