"org","package","version","repository","url","sha"
"Gilead-BioStats","gsm.core","1.2.1","https://github.com/Gilead-BioStats/gsm.core","https://github.com/Gilead-BioStats/gsm.core/archive/b18a79d1f9a53c416d2f9bd9d9bed6c11c8b0c73.tar.gz","b18a79d1f9a53c416d2f9bd9d9bed6c11c8b0c73"
"Gilead-BioStats","gsm.mapping","1.1.4","https://github.com/Gilead-BioStats/gsm.mapping","https://github.com/Gilead-BioStats/gsm.mapping/archive/9ea4f6050acec525b3165d740dc28bd82d70a309.tar.gz","9ea4f6050acec525b3165d740dc28bd82d70a309"
"Gilead-BioStats","gsm.kri","1.5.2","https://github.com/Gilead-BioStats/gsm.kri","https://github.com/Gilead-BioStats/gsm.kri/archive/d380a4ad5bdfcf47750414361498533e0f78bb77.tar.gz","d380a4ad5bdfcf47750414361498533e0f78bb77"
"Gilead-BioStats","gsm.qtl","1.2.2","https://github.com/Gilead-BioStats/gsm.qtl","https://github.com/Gilead-BioStats/gsm.qtl/archive/02b3f1366be9411c7e637b165b7a1a7d8fa17f47.tar.gz","02b3f1366be9411c7e637b165b7a1a7d8fa17f47"
"Gilead-BioStats","gsm.reporting","1.1.5","https://github.com/Gilead-BioStats/gsm.reporting","https://github.com/Gilead-BioStats/gsm.reporting/archive/2a54a4b3a040891787976af3ccaac4993342f9db.tar.gz","2a54a4b3a040891787976af3ccaac4993342f9db"
"Gilead-BioStats","gsm.app","2.6.1.9000","https://github.com/Gilead-BioStats/gsm.app","https://github.com/Gilead-BioStats/gsm.app/archive/b4ef087642b23e9ab2ea6585717db352a602ee95.tar.gz","b4ef087642b23e9ab2ea6585717db352a602ee95"
"Gilead-BioStats","gsm.datasim","1.1.3.9000","https://github.com/Gilead-BioStats/gsm.datasim","https://github.com/Gilead-BioStats/gsm.datasim/archive/20274efb3a214b402d9c369f20adb8f2b78ddd51.tar.gz","20274efb3a214b402d9c369f20adb8f2b78ddd51"
"Gilead-BioStats","gsm.qc","1.1.1.9000","https://github.com/Gilead-BioStats/gsm.qc","https://github.com/Gilead-BioStats/gsm.qc/archive/99dac311d110633bc0ae244b4c48f8fbe56771cc.tar.gz","99dac311d110633bc0ae244b4c48f8fbe56771cc"
"Gilead-BioStats","gsm.utils","0.4.0","https://github.com/Gilead-BioStats/gsm.utils","https://github.com/Gilead-BioStats/gsm.utils/archive/197037651dea489125ac072a399cc9c16e5da34b.tar.gz","197037651dea489125ac072a399cc9c16e5da34b"
"Gilead-BioStats","workr","1.0.0","https://github.com/Gilead-BioStats/workr","https://github.com/Gilead-BioStats/workr/archive/e8b2d849bf7195de20b944baff4c3587a0b56463.tar.gz","e8b2d849bf7195de20b944baff4c3587a0b56463"
