"GroupID","GroupLevel","Numerator","Denominator","Metric"
"4","Site",87,94,0.925531914893617
"257","Site",861,940,0.915957446808511
"384","Site",1205,1316,0.91565349544073
"391","Site",519,564,0.920212765957447
"531","Site",3995,4324,0.923913043478261
"576","Site",438,470,0.931914893617021
"1283","Site",337,376,0.896276595744681
"1364","Site",418,470,0.88936170212766
"1828","Site",596,658,0.905775075987842
"1881","Site",1636,1786,0.916013437849944
"1925","Site",267,282,0.946808510638298
"1927","Site",419,470,0.891489361702128
"2392","Site",1971,2162,0.911655874190564
"4695","Site",778,846,0.919621749408983
"4712","Site",89,94,0.946808510638298
"4897","Site",171,188,0.909574468085106
"5968","Site",1389,1504,0.923537234042553
"5977","Site",167,188,0.888297872340426
"6230","Site",260,282,0.921985815602837
"6273","Site",253,282,0.897163120567376
"6416","Site",1567,1692,0.92612293144208
"6530","Site",1371,1504,0.91156914893617
"8197","Site",171,188,0.909574468085106
"8304","Site",1039,1128,0.921099290780142
"8454","Site",91,94,0.968085106382979
"8545","Site",87,94,0.925531914893617
"8560","Site",2153,2350,0.916170212765957
"8594","Site",3009,3290,0.914589665653495
"8995","Site",1455,1598,0.910513141426784
"9072","Site",87,94,0.925531914893617
"9232","Site",610,658,0.927051671732523
"9522","Site",1370,1504,0.910904255319149
"9560","Site",168,188,0.893617021276596
"9844","Site",344,376,0.914893617021277
"10081","Site",88,94,0.936170212765957
"10325","Site",252,282,0.893617021276596
"10497","Site",941,1034,0.910058027079304
"10608","Site",608,658,0.924012158054711
"12432","Site",1620,1786,0.907054871220605
"12937","Site",1125,1222,0.920621931260229
"12946","Site",170,188,0.904255319148936
"13057","Site",254,282,0.900709219858156
"13112","Site",90,94,0.957446808510638
"13825","Site",87,94,0.925531914893617
"13878","Site",83,94,0.882978723404255
"14408","Site",1038,1128,0.920212765957447
"14601","Site",1295,1410,0.918439716312057
"14707","Site",686,752,0.912234042553192
"14729","Site",1314,1410,0.931914893617021
"16424","Site",693,752,0.921542553191489
"16470","Site",527,564,0.934397163120567
"16980","Site",89,94,0.946808510638298
"16996","Site",1564,1692,0.92434988179669
"17010","Site",266,282,0.943262411347518
"17187","Site",3090,3384,0.913120567375887
"17208","Site",175,188,0.930851063829787
"17235","Site",1028,1128,0.911347517730496
"17472","Site",676,752,0.898936170212766
"17541","Site",2764,3008,0.918882978723404
"17542","Site",687,752,0.913563829787234
"17717","Site",938,1034,0.90715667311412
"17729","Site",1039,1128,0.921099290780142
"17799","Site",259,282,0.918439716312057
"17808","Site",2490,2726,0.913426265590609
"17961","Site",2070,2256,0.917553191489362
"18449","Site",178,188,0.946808510638298
"18496","Site",178,188,0.946808510638298
"18537","Site",862,940,0.917021276595745
"18548","Site",876,940,0.931914893617021
"18743","Site",350,376,0.930851063829787
"18777","Site",1731,1880,0.920744680851064
"20531","Site",1654,1786,0.926091825307951
"20757","Site",174,188,0.925531914893617
"21380","Site",3122,3384,0.9225768321513
"21655","Site",86,94,0.914893617021277
"22022","Site",173,188,0.920212765957447
"22677","Site",1801,1974,0.912360688956434
"25127","Site",437,470,0.929787234042553
"25160","Site",171,188,0.909574468085106
"25171","Site",85,94,0.904255319148936
"25348","Site",770,846,0.91016548463357
"25449","Site",174,188,0.925531914893617
"25605","Site",2287,2538,0.901103230890465
"25858","Site",596,658,0.905775075987842
"26115","Site",1120,1222,0.916530278232406
"26117","Site",523,564,0.927304964539007
"26167","Site",90,94,0.957446808510638
"26213","Site",596,658,0.905775075987842
"26499","Site",171,188,0.909574468085106
"26665","Site",255,282,0.904255319148936
"26725","Site",257,282,0.911347517730496
"26772","Site",348,376,0.925531914893617
"26880","Site",1553,1692,0.917848699763593
"26885","Site",175,188,0.930851063829787
"28689","Site",1909,2068,0.923114119922631
"29013","Site",429,470,0.912765957446809
"29289","Site",84,94,0.893617021276596
"29476","Site",88,94,0.936170212765957
"29972","Site",338,376,0.898936170212766
"30089","Site",81,94,0.861702127659574
"30233","Site",522,564,0.925531914893617
"30336","Site",435,470,0.925531914893617
"30729","Site",786,846,0.929078014184397
"30741","Site",249,282,0.882978723404255
"30851","Site",177,188,0.941489361702128
"30984","Site",85,94,0.904255319148936
"31107","Site",1555,1692,0.91903073286052
"32913","Site",937,1034,0.906189555125725
"32920","Site",169,188,0.898936170212766
"33348","Site",172,188,0.914893617021277
"33539","Site",765,846,0.904255319148936
"33617","Site",1975,2162,0.913506012950971
"33620","Site",840,940,0.893617021276596
"33671","Site",175,188,0.930851063829787
"34067","Site",345,376,0.917553191489362
"34071","Site",2329,2538,0.917651694247439
"34341","Site",2514,2726,0.922230374174615
"34353","Site",264,282,0.936170212765957
"34355","Site",2306,2538,0.908589440504334
"34643","Site",261,282,0.925531914893617
"34660","Site",842,940,0.895744680851064
"34694","Site",1447,1598,0.905506883604506
"34696","Site",1989,2162,0.919981498612396
"34713","Site",2504,2726,0.918561995597946
"35155","Site",428,470,0.91063829787234
"37186","Site",4219,4606,0.915979157620495
"37702","Site",2336,2538,0.920409771473601
"37728","Site",1960,2162,0.906567992599445
"37892","Site",170,188,0.904255319148936
"37938","Site",172,188,0.914893617021277
"38248","Site",346,376,0.920212765957447
"38249","Site",171,188,0.909574468085106
"38272","Site",1895,2068,0.916344294003869
"38711","Site",1827,1974,0.925531914893617
"39000","Site",691,752,0.918882978723404
"39025","Site",519,564,0.920212765957447
