"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score"
"25605","Site",2287,2538,0.901103230890465,0.916435288162113,1.05074091298526,-2.72292737725447
"33620","Site",840,940,0.893617021276596,0.916435288162113,1.05074091298526,-2.46624602881366
"34660","Site",842,940,0.895744680851064,0.916435288162113,1.05074091298526,-2.23628413019419
"1364","Site",418,470,0.88936170212766,0.916435288162113,1.05074091298526,-2.06911452690525
"30741","Site",249,282,0.882978723404255,0.916435288162113,1.05074091298526,-1.98059517854176
"1927","Site",419,470,0.891489361702128,0.916435288162113,1.05074091298526,-1.90650690897689
"30089","Site",81,94,0.861702127659574,0.916435288162113,1.05074091298526,-1.870700534181
"17472","Site",676,752,0.898936170212766,0.916435288162113,1.05074091298526,-1.69166707031846
"37728","Site",1960,2162,0.906567992599445,0.916435288162113,1.05074091298526,-1.61739389213039
"34694","Site",1447,1598,0.905506883604506,0.916435288162113,1.05074091298526,-1.54005052097772
"12432","Site",1620,1786,0.907054871220605,0.916435288162113,1.05074091298526,-1.3975027990381
"34355","Site",2306,2538,0.908589440504334,0.916435288162113,1.05074091298526,-1.39339900749262
"1283","Site",337,376,0.896276595744681,0.916435288162113,1.05074091298526,-1.37799010060572
"5977","Site",167,188,0.888297872340426,0.916435288162113,1.05074091298526,-1.36004397270727
"10325","Site",252,282,0.893617021276596,0.916435288162113,1.05074091298526,-1.35081858233878
"33539","Site",765,846,0.904255319148936,0.916435288162113,1.05074091298526,-1.24888135437756
"29972","Site",338,376,0.898936170212766,0.916435288162113,1.05074091298526,-1.19618925693216
"32913","Site",937,1034,0.906189555125725,0.916435288162113,1.05074091298526,-1.16143021942821
"13878","Site",83,94,0.882978723404255,0.916435288162113,1.05074091298526,-1.14349715948676
"6273","Site",253,282,0.897163120567376,0.916435288162113,1.05074091298526,-1.14089305027111
"9560","Site",168,188,0.893617021276596,0.916435288162113,1.05074091298526,-1.10293875393325
"17717","Site",938,1034,0.90715667311412,0.916435288162113,1.05074091298526,-1.05180018578543
"1828","Site",596,658,0.905775075987842,0.916435288162113,1.05074091298526,-0.963981306759439
"25858","Site",596,658,0.905775075987842,0.916435288162113,1.05074091298526,-0.963981306759439
"26213","Site",596,658,0.905775075987842,0.916435288162113,1.05074091298526,-0.963981306759439
"13057","Site",254,282,0.900709219858156,0.916435288162113,1.05074091298526,-0.930967518203455
"32920","Site",169,188,0.898936170212766,0.916435288162113,1.05074091298526,-0.84583353515923
"8995","Site",1455,1598,0.910513141426784,0.916435288162113,1.05074091298526,-0.834559620937719
"2392","Site",1971,2162,0.911655874190564,0.916435288162113,1.05074091298526,-0.783415771469569
"29289","Site",84,94,0.893617021276596,0.916435288162113,1.05074091298526,-0.779895472139643
"9522","Site",1370,1504,0.910904255319149,0.916435288162113,1.05074091298526,-0.756170920802282
"10497","Site",941,1034,0.910058027079304,0.916435288162113,1.05074091298526,-0.722910084857107
"26665","Site",255,282,0.904255319148936,0.916435288162113,1.05074091298526,-0.72104198613579
"17187","Site",3090,3384,0.913120567375887,0.916435288162113,1.05074091298526,-0.67975427201953
"6530","Site",1371,1504,0.91156914893617,0.916435288162113,1.05074091298526,-0.665270498965504
"25348","Site",770,846,0.91016548463357,0.916435288162113,1.05074091298526,-0.642878542132368
"22677","Site",1801,1974,0.912360688956434,0.916435288162113,1.05074091298526,-0.638187490565223
"17235","Site",1028,1128,0.911347517730496,0.916435288162113,1.05074091298526,-0.602381844000933
"12946","Site",170,188,0.904255319148936,0.916435288162113,1.05074091298526,-0.588728316385209
"37892","Site",170,188,0.904255319148936,0.916435288162113,1.05074091298526,-0.588728316385209
"17808","Site",2490,2726,0.913426265590609,0.916435288162113,1.05074091298526,-0.55383218195177
"33617","Site",1975,2162,0.913506012950971,0.916435288162113,1.05074091298526,-0.480151000320169
"35155","Site",428,470,0.91063829787234,0.916435288162113,1.05074091298526,-0.443038347621678
"25171","Site",85,94,0.904255319148936,0.916435288162113,1.05074091298526,-0.416293784792521
"30984","Site",85,94,0.904255319148936,0.916435288162113,1.05074091298526,-0.416293784792521
"14707","Site",686,752,0.912234042553192,0.916435288162113,1.05074091298526,-0.406140976448362
"8594","Site",3009,3290,0.914589665653495,0.916435288162113,1.05074091298526,-0.373190555043441
"4897","Site",171,188,0.909574468085106,0.916435288162113,1.05074091298526,-0.331623097611194
"8197","Site",171,188,0.909574468085106,0.916435288162113,1.05074091298526,-0.331623097611194
"25160","Site",171,188,0.909574468085106,0.916435288162113,1.05074091298526,-0.331623097611194
"26499","Site",171,188,0.909574468085106,0.916435288162113,1.05074091298526,-0.331623097611194
"38249","Site",171,188,0.909574468085106,0.916435288162113,1.05074091298526,-0.331623097611194
"26725","Site",257,282,0.911347517730496,0.916435288162113,1.05074091298526,-0.301190922000466
"29013","Site",429,470,0.912765957446809,0.916435288162113,1.05074091298526,-0.280430729693316
"17542","Site",687,752,0.913563829787234,0.916435288162113,1.05074091298526,-0.277588367061354
"37186","Site",4219,4606,0.915979157620495,0.916435288162113,1.05074091298526,-0.109129191155595
"9844","Site",344,376,0.914893617021277,0.916435288162113,1.05074091298526,-0.105384194890805
"384","Site",1205,1316,0.91565349544073,0.916435288162113,1.05074091298526,-0.0999791371093565
"33348","Site",172,188,0.914893617021277,0.916435288162113,1.05074091298526,-0.0745178788371732
"37938","Site",172,188,0.914893617021277,0.916435288162113,1.05074091298526,-0.0745178788371732
"1881","Site",1636,1786,0.916013437849944,0.916435288162113,1.05074091298526,-0.062847632009073
"21655","Site",86,94,0.914893617021277,0.916435288162113,1.05074091298526,-0.0526920974454027
"257","Site",861,940,0.915957446808511,0.916435288162113,1.05074091298526,-0.0516460933092768
"8560","Site",2153,2350,0.916170212765957,0.916435288162113,1.05074091298526,-0.0452994748187397
"38272","Site",1895,2068,0.916344294003869,0.916435288162113,1.05074091298526,-0.0145874236445154
"26115","Site",1120,1222,0.916530278232406,0.916435288162113,1.05074091298526,0.0117058681681231
"18537","Site",862,940,0.917021276595745,0.916435288162113,1.05074091298526,0.0633348560004587
"34067","Site",345,376,0.917553191489362,0.916435288162113,1.05074091298526,0.0764166487827517
"17799","Site",259,282,0.918439716312057,0.916435288162113,1.05074091298526,0.118660142134857
"22022","Site",173,188,0.920212765957447,0.916435288162113,1.05074091298526,0.182587339936848
"17961","Site",2070,2256,0.917553191489362,0.916435288162113,1.05074091298526,0.187181797371215
"26880","Site",1553,1692,0.917848699763593,0.916435288162113,1.05074091298526,0.204955061445183
"34071","Site",2329,2538,0.917651694247439,0.916435288162113,1.05074091298526,0.216030071692798
"39000","Site",691,752,0.918882978723404,0.916435288162113,1.05074091298526,0.236622070486687
"38248","Site",346,376,0.920212765957447,0.916435288162113,1.05074091298526,0.258217492456316
"14601","Site",1295,1410,0.918439716312057,0.916435288162113,1.05074091298526,0.265332144033328
"4","Site",87,94,0.925531914893617,0.916435288162113,1.05074091298526,0.310909589901715
"8545","Site",87,94,0.925531914893617,0.916435288162113,1.05074091298526,0.310909589901715
"9072","Site",87,94,0.925531914893617,0.916435288162113,1.05074091298526,0.310909589901715
"13825","Site",87,94,0.925531914893617,0.916435288162113,1.05074091298526,0.310909589901715
"391","Site",519,564,0.920212765957447,0.916435288162113,1.05074091298526,0.31625054958947
"39025","Site",519,564,0.920212765957447,0.916435288162113,1.05074091298526,0.31625054958947
"4695","Site",778,846,0.919621749408983,0.916435288162113,1.05074091298526,0.326725957459952
"6230","Site",260,282,0.921985815602837,0.916435288162113,1.05074091298526,0.328585674202516
"31107","Site",1555,1692,0.91903073286052,0.916435288162113,1.05074091298526,0.376358540627855
"34713","Site",2504,2726,0.918561995597946,0.916435288162113,1.05074091298526,0.391435754159619
"20757","Site",174,188,0.925531914893617,0.916435288162113,1.05074091298526,0.439692558710863
"25449","Site",174,188,0.925531914893617,0.916435288162113,1.05074091298526,0.439692558710863
"14408","Site",1038,1128,0.920212765957447,0.916435288162113,1.05074091298526,0.447245816337373
"17541","Site",2764,3008,0.918882978723404,0.916435288162113,1.05074091298526,0.473244140973375
"16424","Site",693,752,0.921542553191489,0.916435288162113,1.05074091298526,0.493727289260703
"12937","Site",1125,1222,0.920621931260229,0.916435288162113,1.05074091298526,0.515930686466313
"34643","Site",261,282,0.925531914893617,0.916435288162113,1.05074091298526,0.538511206270175
"8304","Site",1039,1128,0.921099290780142,0.916435288162113,1.05074091298526,0.552208582371203
"17729","Site",1039,1128,0.921099290780142,0.916435288162113,1.05074091298526,0.552208582371203
"34696","Site",1989,2162,0.919981498612396,0.916435288162113,1.05074091298526,0.581275698702713
"26772","Site",348,376,0.925531914893617,0.916435288162113,1.05074091298526,0.621819179803431
"18777","Site",1731,1880,0.920744680851064,0.916435288162113,1.05074091298526,0.658695675076043
"10081","Site",88,94,0.936170212765957,0.916435288162113,1.05074091298526,0.674511277248837
"29476","Site",88,94,0.936170212765957,0.916435288162113,1.05074091298526,0.674511277248837
"10608","Site",608,658,0.924012158054711,0.916435288162113,1.05074091298526,0.685160934961604
"30336","Site",435,470,0.925531914893617,0.916435288162113,1.05074091298526,0.695214977876818
"17208","Site",175,188,0.930851063829787,0.916435288162113,1.05074091298526,0.696797777484884
"26885","Site",175,188,0.930851063829787,0.916435288162113,1.05074091298526,0.696797777484884
"33671","Site",175,188,0.930851063829787,0.916435288162113,1.05074091298526,0.696797777484884
"37702","Site",2336,2538,0.920409771473601,0.916435288162113,1.05074091298526,0.705856313183999
"30233","Site",522,564,0.925531914893617,0.916435288162113,1.05074091298526,0.761569851397176
"26117","Site",523,564,0.927304964539007,0.916435288162113,1.05074091298526,0.910009618666421
