"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score","Flag","Weight","WeightMax"
"37186","Site",0,17,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"14729","Site",0,10,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"25348","Site",0,9,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"25605","Site",0,9,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"34694","Site",0,9,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"37702","Site",0,9,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"39000","Site",0,9,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"17235","Site",0,8,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"22677","Site",0,8,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"1927","Site",0,7,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"10608","Site",0,7,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"17717","Site",0,7,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"17729","Site",0,7,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"26117","Site",0,7,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"33620","Site",0,7,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"391","Site",0,6,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"4695","Site",0,6,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"4897","Site",0,6,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"5968","Site",0,6,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"29013","Site",0,6,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"32913","Site",0,6,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"257","Site",0,5,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"1828","Site",0,5,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"6416","Site",0,5,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"8197","Site",0,5,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"9844","Site",0,5,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"16470","Site",0,5,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"26665","Site",0,5,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"29972","Site",0,5,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"34067","Site",0,5,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"35155","Site",0,5,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"384","Site",0,4,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"1925","Site",0,4,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"17208","Site",0,4,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"17555","Site",0,4,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"25171","Site",0,4,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"25449","Site",0,4,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"26167","Site",0,4,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"33396","Site",0,4,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"38249","Site",0,4,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"1283","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"1364","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"9072","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"9232","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"10325","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"13057","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"17799","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"18496","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"22022","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"25382","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"26725","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"26885","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"29813","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"30233","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"30741","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"37938","Site",0,3,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"4","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"4712","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"9560","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"12946","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"13112","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"13878","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"20757","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"21655","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"25160","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"26499","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"29289","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"29987","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"30729","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"30851","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"30984","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"32920","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"33348","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"38248","Site",0,2,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"17187","Site",1,14,0.0714285714285714,0.112565445026178,0.962377993042313,NA,NA,NA,32
"8454","Site",0,1,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"8545","Site",0,1,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"10081","Site",0,1,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"16980","Site",0,1,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"18449","Site",0,1,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"22329","Site",0,1,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"22681","Site",0,1,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"29476","Site",0,1,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"30089","Site",0,1,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"33575","Site",0,1,0,0.112565445026178,0.962377993042313,NA,NA,NA,32
"38272","Site",1,12,0.0833333333333333,0.112565445026178,0.962377993042313,NA,NA,NA,32
